contract,transaction_date,quantity,price (USD)
Organic Wheat (feed) (delivered),7/19/13,440,12.27
Organic Wheat (feed) (delivered),7/22/13,833,12.9
Organic Wheat (feed) (delivered),7/24/13,825,15
Organic Wheat (feed) (delivered),7/25/13,1000,13
Organic Wheat (feed) (delivered),7/26/13,800,12.65
Organic Wheat (feed) (delivered),7/31/13,2500,12.5
Organic Wheat (feed) (delivered),8/1/13,966,12.65
Organic Wheat (feed) (delivered),8/1/13,966,13.2
Organic Wheat (feed) (delivered),8/1/13,966,13.2
Organic Wheat (feed) (delivered),8/1/13,933,13.2
Organic Wheat (feed) (delivered),8/1/13,933,13.2
Organic Wheat (feed) (delivered),8/13/13,933,14.1
Organic Wheat (feed) (delivered),8/14/13,900,13.25
Organic Wheat (feed) (delivered),8/16/13,12000,14
Organic Wheat (feed) (delivered),8/16/13,10000,13
Organic Wheat (feed) (delivered),8/19/13,800,12.5
Organic Wheat (feed) (delivered),8/20/13,800,13.25
Organic Wheat (feed) (delivered),8/20/13,800,12.5
Organic Wheat (feed) (delivered),8/21/13,14666,14.4
Organic Wheat (feed) (delivered),8/23/13,733,11.5
Organic Wheat (feed) (delivered),8/23/13,733,12.5
Organic Wheat (feed) (delivered),8/26/13,189,11
Organic Wheat (feed) (delivered),8/27/13,833,12.5
Organic Wheat (feed) (delivered),8/27/13,900,12.31
Organic Wheat (feed) (delivered),9/6/13,933,13.3
Organic Wheat (feed) (delivered),9/6/13,833,12.75
Organic Wheat (feed) (delivered),9/9/13,300,12
Organic Wheat (feed) (delivered),9/9/13,833,12
Organic Wheat (feed) (delivered),9/11/13,2939,12.27
Organic Wheat (feed) (delivered),9/13/13,2000,12.5
Organic Wheat (feed) (delivered),9/13/13,1000,15
Organic Wheat (feed) (delivered),9/20/13,729,11.5
Organic Wheat (feed) (delivered),9/26/13,905,13
Organic Wheat (feed) (delivered),9/30/13,866,11.25
Organic Wheat (feed) (delivered),10/1/13,1000,13.3
Organic Wheat (feed) (delivered),10/1/13,90900,16.75
Organic Wheat (feed) (delivered),10/2/13,466,10.75
Organic Wheat (feed) (delivered),10/2/13,20000,14.1
Organic Wheat (feed) (delivered),10/8/13,933,13.3
Organic Wheat (feed) (delivered),10/14/13,22000,13.8
Organic Wheat (feed) (delivered),10/15/13,3674,12.27
Organic Wheat (feed) (delivered),10/24/13,666,15
Organic Wheat (feed) (delivered),10/29/13,866,13.23
Organic Wheat (feed) (delivered),10/30/13,866,13.23
Organic Wheat (feed) (delivered),11/1/13,900,13.3
Organic Wheat (feed) (delivered),11/1/13,900,13.3
Organic Wheat (feed) (delivered),11/21/13,4500,14.4
Organic Wheat (feed) (delivered),11/21/13,985,11
Organic Wheat (feed) (delivered),12/2/13,1600,13
Organic Wheat (feed) (delivered),1/1/14,10000,13.35
Organic Wheat (feed) (delivered),1/3/14,900,10.48
Organic Wheat (feed) (delivered),1/6/14,1000,10.4
Organic Wheat (feed) (delivered),1/9/14,900,10.33
Organic Wheat (feed) (delivered),1/10/14,900,10.48
Organic Wheat (feed) (delivered),1/27/14,1000,14
Organic Wheat (feed) (delivered),2/3/14,1066,10.2
Organic Wheat (feed) (delivered),2/7/14,800,10.4
Organic Wheat (feed) (delivered),2/13/14,9000,16.05
Organic Wheat (feed) (delivered),2/19/14,800,12
Organic Wheat (feed) (delivered),2/25/14,966,10.28
Organic Wheat (feed) (delivered),2/25/14,966,10.28
Organic Wheat (feed) (delivered),2/26/14,900,10.31
Organic Wheat (feed) (delivered),3/5/14,850,13.5
Organic Wheat (feed) (delivered),3/5/14,1286,12.27
Organic Wheat (feed) (delivered),3/5/14,1286,12.27
Organic Wheat (feed) (delivered),4/2/14,900,14.65
Organic Wheat (feed) (delivered),4/3/14,1600,14.75
Organic Wheat (feed) (delivered),4/3/14,800,14.75
Organic Wheat (feed) (delivered),4/7/14,1469,14.45
Organic Wheat (feed) (delivered),4/7/14,409,13.5
Organic Wheat (feed) (delivered),4/8/14,734,14.32
Organic Wheat (feed) (delivered),4/17/14,3400,14.5
Organic Wheat (feed) (delivered),4/24/14,734,13.64
Organic Wheat (feed) (delivered),5/1/14,1500,15.9
Organic Wheat (feed) (delivered),5/7/14,200,12.3
Organic Wheat (feed) (delivered),5/14/14,734,13.09
Organic Wheat (feed) (delivered),5/16/14,1500,16.05
Organic Wheat (feed) (delivered),6/20/14,1600,13.5
Organic Wheat (feed) (delivered),7/1/14,30000,14.4
Organic Wheat (feed) (delivered),7/3/14,700,15.66
Organic Wheat (feed) (delivered),7/3/14,800,13.5
Organic Wheat (feed) (delivered),7/5/14,992,13.09
Organic Wheat (feed) (delivered),7/9/14,200,10.41
Organic Wheat (feed) (delivered),7/15/14,900,13.75
Organic Wheat (feed) (delivered),7/17/14,850,13.5
Organic Wheat (feed) (delivered),7/17/14,9000,13.8
Organic Wheat (feed) (delivered),7/17/14,1000,13.8
Organic Wheat (feed) (delivered),7/17/14,440,13.64
Organic Wheat (feed) (delivered),7/18/14,12000,14
Organic Wheat (feed) (delivered),7/22/14,850,13.75
Organic Wheat (feed) (delivered),7/24/14,1733,14.01
Organic Wheat (feed) (delivered),7/28/14,1033,10.75
Organic Wheat (feed) (delivered),7/30/14,900,13.95
Organic Wheat (feed) (delivered),7/30/14,733,14.35
Organic Wheat (feed) (delivered),7/30/14,808,13.09
Organic Wheat (feed) (delivered),8/3/14,833,13.49
Organic Wheat (feed) (delivered),8/3/14,833,13.49
Organic Wheat (feed) (delivered),8/4/14,235,13
Organic Wheat (feed) (delivered),8/4/14,2000,13.5
Organic Wheat (feed) (delivered),8/5/14,800,13.54
Organic Wheat (feed) (delivered),8/5/14,800,13.54
Organic Wheat (feed) (delivered),8/8/14,1800,13.75
Organic Wheat (feed) (delivered),8/11/14,1333,12.75
Organic Wheat (feed) (delivered),8/11/14,833,13.62
Organic Wheat (feed) (delivered),8/11/14,1000,11.87
Organic Wheat (feed) (delivered),8/12/14,700,12.21
Organic Wheat (feed) (delivered),8/12/14,21,406.94
Organic Wheat (feed) (delivered),8/13/14,833,13.41
Organic Wheat (feed) (delivered),8/20/14,700,14.32
Organic Wheat (feed) (delivered),8/21/14,633,12.26
Organic Wheat (feed) (delivered),8/27/14,3674,13.31
Organic Wheat (feed) (delivered),8/28/14,50000,13.2
Organic Wheat (feed) (delivered),8/28/14,2939,15.03
Organic Wheat (feed) (delivered),8/29/14,514,13.09
Organic Wheat (feed) (delivered),9/2/14,3000,14.7
Organic Wheat (feed) (delivered),9/5/14,3000,13.5
Organic Wheat (feed) (delivered),9/9/14,3333,12.9
Organic Wheat (feed) (delivered),9/10/14,900,11.5
Organic Wheat (feed) (delivered),9/11/14,900,13.5
Organic Wheat (feed) (delivered),9/23/14,2572,13.31
Organic Wheat (feed) (delivered),9/30/14,900,12
Organic Wheat (feed) (delivered),10/2/14,150000,15
Organic Wheat (feed) (delivered),10/6/14,900,12
Organic Wheat (feed) (delivered),10/9/14,1600,13
Organic Wheat (feed) (delivered),10/10/14,2204,13.36
Organic Wheat (feed) (delivered),10/16/14,2000,12
Organic Wheat (feed) (delivered),10/17/14,8000,18
Organic Wheat (feed) (delivered),10/17/14,900,11
Organic Wheat (feed) (delivered),10/21/14,10000,12.75
Organic Wheat (feed) (delivered),10/21/14,3000,12
Organic Wheat (feed) (delivered),10/22/14,13333,12.6
Organic Wheat (feed) (delivered),10/25/14,1837,13.64
Organic Wheat (feed) (delivered),10/30/14,10000,13.55
Organic Wheat (feed) (delivered),10/30/14,460,11.5
Organic Wheat (feed) (delivered),10/31/14,734,13.64
Organic Wheat (feed) (delivered),11/19/14,367,13.09
Organic Wheat (feed) (delivered),12/5/14,900,9.5
Organic Wheat (feed) (delivered),12/5/14,900,9.5
Organic Wheat (feed) (delivered),12/8/14,1600,11.75
Organic Wheat (feed) (delivered),12/8/14,9185,14.73
Organic Wheat (feed) (delivered),12/16/14,1600,11
Organic Wheat (feed) (delivered),1/2/15,1600,11.75
Organic Wheat (feed) (delivered),1/5/15,830,11.5
Organic Wheat (feed) (delivered),1/8/15,1600,13.25
Organic Wheat (feed) (delivered),1/9/15,900,13.75
Organic Wheat (feed) (delivered),1/14/15,1600,13.25
Organic Wheat (feed) (delivered),1/19/15,12125,13.77
Organic Wheat (feed) (delivered),1/22/15,6600,11
Organic Wheat (feed) (delivered),1/27/15,20000,12.75
Organic Wheat (feed) (delivered),1/28/15,3300,11
Organic Wheat (feed) (delivered),1/28/15,1000,10
Organic Wheat (feed) (delivered),1/28/15,3300,11
Organic Wheat (feed) (delivered),1/28/15,3300,11
Organic Wheat (feed) (delivered),1/28/15,2300,11
Organic Wheat (feed) (delivered),1/28/15,3300,11
Organic Wheat (feed) (delivered),1/28/15,3300,11
Organic Wheat (feed) (delivered),2/9/15,900,12.75
Organic Wheat (feed) (delivered),2/15/15,3312,13.15
Organic Wheat (feed) (delivered),2/15/15,838,13.5
Organic Wheat (feed) (delivered),2/19/15,4000,10
Organic Wheat (feed) (delivered),2/28/15,4144,13.5
Organic Wheat (feed) (delivered),3/1/15,909,8.5
Organic Wheat (feed) (delivered),3/5/15,6000,10
Organic Wheat (feed) (delivered),3/10/15,2500,13.75
Organic Wheat (feed) (delivered),3/19/15,4000,13.75
Organic Wheat (feed) (delivered),3/19/15,28333,13.05
Organic Wheat (feed) (delivered),3/23/15,715,13
Organic Wheat (feed) (delivered),3/23/15,863,13.5
Organic Wheat (feed) (delivered),3/23/15,851,13.65
Organic Wheat (feed) (delivered),3/23/15,886,13.5
Organic Wheat (feed) (delivered),3/25/15,333,12.75
Organic Wheat (feed) (delivered),3/26/15,3100,10
Organic Wheat (feed) (delivered),3/30/15,4259,13.5
Organic Wheat (feed) (delivered),3/30/15,590,13.65
Organic Wheat (feed) (delivered),3/30/15,1676,13.5
Organic Wheat (feed) (delivered),4/6/15,1758,13.5
Organic Wheat (feed) (delivered),4/6/15,868,13.5
Organic Wheat (feed) (delivered),4/14/15,10000,13.5
Organic Wheat (feed) (delivered),4/15/15,6667,13.2
Organic Wheat (feed) (delivered),5/1/15,833,12.44
Organic Wheat (feed) (delivered),5/1/15,833,12.44
Organic Wheat (feed) (delivered),5/4/15,6600,10
Organic Wheat (feed) (delivered),5/6/15,20000,12.6
Organic Wheat (feed) (delivered),5/8/15,833,12.84
Organic Wheat (feed) (delivered),5/8/15,833,12.84
Organic Wheat (feed) (delivered),5/14/15,2000,10
Organic Wheat (feed) (delivered),5/21/15,3400,12
Organic Wheat (feed) (delivered),5/22/15,800,10
Organic Wheat (feed) (delivered),5/27/15,800,13.9
Organic Wheat (feed) (delivered),5/27/15,800,13.9
Organic Wheat (feed) (delivered),5/31/15,888,13.5
Organic Wheat (feed) (delivered),6/2/15,900,10
Organic Wheat (feed) (delivered),6/2/15,1286,14.73
Organic Wheat (feed) (delivered),6/2/15,900,10
Organic Wheat (feed) (delivered),6/15/15,1600,13
Organic Wheat (feed) (delivered),6/15/15,3000,13.65
Organic Wheat (feed) (delivered),6/16/15,1286,15
Organic Wheat (feed) (delivered),6/18/15,3300,15.3
Organic Wheat (feed) (delivered),6/18/15,3300,14.5
Organic Wheat (feed) (delivered),6/18/15,100000,15.43
Organic Wheat (feed) (delivered),6/18/15,15000,16
Organic Wheat (feed) (delivered),6/19/15,1286,15
Organic Wheat (feed) (delivered),6/19/15,294,13.09
Organic Wheat (feed) (delivered),6/22/15,1600,9
Organic Wheat (feed) (delivered),6/23/15,2400,9
Organic Wheat (feed) (delivered),6/25/15,750,10.5
Organic Wheat (feed) (delivered),6/25/15,60000,11
Organic Wheat (feed) (delivered),6/26/15,478,14.73
Organic Wheat (feed) (delivered),6/29/15,1600,9
Organic Wheat (feed) (delivered),6/30/15,785,13
Organic Wheat (feed) (delivered),6/30/15,3418,13.5
Organic Wheat (feed) (delivered),6/30/15,862,13
Organic Wheat (feed) (delivered),6/30/15,799,13
Organic Wheat (feed) (delivered),7/1/15,1600,10
Organic Wheat (feed) (delivered),7/1/15,5967,13.2
Organic Wheat (feed) (delivered),7/2/15,1700,13.65
Organic Wheat (feed) (delivered),7/2/15,700,10.5
Organic Wheat (feed) (delivered),7/3/15,7000,12.5
Organic Wheat (feed) (delivered),7/10/15,20000,11
Organic Wheat (feed) (delivered),7/16/15,20000,11
Organic Wheat (feed) (delivered),7/22/15,800,13
Organic Wheat (feed) (delivered),7/23/15,5000,11
Organic Wheat (feed) (delivered),7/27/15,6700,11
Organic Wheat (feed) (delivered),7/27/15,6700,11
Organic Wheat (feed) (delivered),7/27/15,6700,11
Organic Wheat (feed) (delivered),7/31/15,1503,8
Organic Wheat (feed) (delivered),7/31/15,1503,8
Organic Wheat (feed) (delivered),7/31/15,218,9.25
Organic Wheat (feed) (delivered),7/31/15,1503,8.61
Organic Wheat (feed) (delivered),7/31/15,1712,8.6
Organic Wheat (feed) (delivered),7/31/15,1504,8.6
Organic Wheat (feed) (delivered),7/31/15,1712,8.6
Organic Wheat (feed) (delivered),7/31/15,1629,8.6
Organic Wheat (feed) (delivered),8/1/15,903,10.5
Organic Wheat (feed) (delivered),8/4/15,1154,11.57
Organic Wheat (feed) (delivered),8/4/15,1433,8.34
Organic Wheat (feed) (delivered),8/4/15,1433,8.34
Organic Wheat (feed) (delivered),8/4/15,1519,8.95
Organic Wheat (feed) (delivered),8/4/15,769,8.34
Organic Wheat (feed) (delivered),8/4/15,1433,8.34
Organic Wheat (feed) (delivered),8/4/15,1433,8.34
Organic Wheat (feed) (delivered),8/4/15,769,8.95
Organic Wheat (feed) (delivered),8/4/15,1433,8.95
Organic Wheat (feed) (delivered),8/4/15,1519,8.95
Organic Wheat (feed) (delivered),8/4/15,1434,8.95
Organic Wheat (feed) (delivered),8/5/15,318,8.35
Organic Wheat (feed) (delivered),8/5/15,738,11.56
Organic Wheat (feed) (delivered),8/5/15,318,8.35
Organic Wheat (feed) (delivered),8/6/15,3433,10.3
Organic Wheat (feed) (delivered),8/6/15,3400,9.7
Organic Wheat (feed) (delivered),8/10/15,1133,10.09
Organic Wheat (feed) (delivered),8/11/15,107,8.39
Organic Wheat (feed) (delivered),8/11/15,106,8.39
Organic Wheat (feed) (delivered),8/12/15,833,12.6
Organic Wheat (feed) (delivered),8/15/15,1557,9.25
Organic Wheat (feed) (delivered),8/15/15,883,9.25
Organic Wheat (feed) (delivered),8/17/15,433,13
Organic Wheat (feed) (delivered),8/17/15,1145,9.25
Organic Wheat (feed) (delivered),8/17/15,1685,9.25
Organic Wheat (feed) (delivered),8/17/15,860,9.25
Organic Wheat (feed) (delivered),8/17/15,308,9.25
Organic Wheat (feed) (delivered),8/17/15,492,8.17
Organic Wheat (feed) (delivered),8/17/15,1688,9.25
Organic Wheat (feed) (delivered),8/20/15,833,14.1
Organic Wheat (feed) (delivered),8/20/15,900,14.1
Organic Wheat (feed) (delivered),8/20/15,733,14.1
Organic Wheat (feed) (delivered),8/20/15,867,14.1
Organic Wheat (feed) (delivered),8/20/15,867,14.1
Organic Wheat (feed) (delivered),8/20/15,833,14.1
Organic Wheat (feed) (delivered),8/20/15,833,14.1
Organic Wheat (feed) (delivered),8/24/15,176,8.45
Organic Wheat (feed) (delivered),8/24/15,1518,8.45
Organic Wheat (feed) (delivered),8/24/15,764,8.45
Organic Wheat (feed) (delivered),8/24/15,1340,8.46
Organic Wheat (feed) (delivered),8/24/15,1504,8.45
Organic Wheat (feed) (delivered),8/26/15,1667,13.15
Organic Wheat (feed) (delivered),8/26/15,3267,14
Organic Wheat (feed) (delivered),8/27/15,20000,10
Organic Wheat (feed) (delivered),8/31/15,230,9.25
Organic Wheat (feed) (delivered),8/31/15,148,9.25
Organic Wheat (feed) (delivered),8/31/15,112,9.25
Organic Wheat (feed) (delivered),8/31/15,171,9.25
Organic Wheat (feed) (delivered),8/31/15,388,9.25
Organic Wheat (feed) (delivered),9/1/15,166,8.3
Organic Wheat (feed) (delivered),9/1/15,1536,8.46
Organic Wheat (feed) (delivered),9/1/15,7033,14.01
Organic Wheat (feed) (delivered),9/1/15,8333,13.86
Organic Wheat (feed) (delivered),9/8/15,1800,8.93
Organic Wheat (feed) (delivered),9/8/15,1475,8.46
Organic Wheat (feed) (delivered),9/8/15,1474,8.46
Organic Wheat (feed) (delivered),9/8/15,803,8.46
Organic Wheat (feed) (delivered),9/8/15,1486,8.46
Organic Wheat (feed) (delivered),9/10/15,185,9.25
Organic Wheat (feed) (delivered),9/15/15,1773,9.25
Organic Wheat (feed) (delivered),9/16/15,4593,12.82
Organic Wheat (feed) (delivered),9/17/15,8333,12.9
Organic Wheat (feed) (delivered),9/17/15,1600,11
Organic Wheat (feed) (delivered),10/1/15,920,10.5
Organic Wheat (feed) (delivered),10/1/15,867,10
Organic Wheat (feed) (delivered),10/2/15,933,10
Organic Wheat (feed) (delivered),10/5/15,1600,7.5
Organic Wheat (feed) (delivered),10/6/15,3700,10.5
Organic Wheat (feed) (delivered),10/7/15,30,9.25
Organic Wheat (feed) (delivered),10/7/15,439,9.25
Organic Wheat (feed) (delivered),10/12/15,1000,12.5
Organic Wheat (feed) (delivered),10/13/15,412,9.25
Organic Wheat (feed) (delivered),10/13/15,2000,12
Organic Wheat (feed) (delivered),10/13/15,827,9.25
Organic Wheat (feed) (delivered),10/13/15,421,9.25
Organic Wheat (feed) (delivered),10/16/15,1400,8.51
Organic Wheat (feed) (delivered),10/19/15,2400,7.5
Organic Wheat (feed) (delivered),10/20/15,1033,10
Organic Wheat (feed) (delivered),10/21/15,800,15.3
Organic Wheat (feed) (delivered),10/21/15,833,15.3
Organic Wheat (feed) (delivered),10/21/15,867,15.3
Organic Wheat (feed) (delivered),10/22/15,867,15.3
Organic Wheat (feed) (delivered),10/23/15,833,15.3
Organic Wheat (feed) (delivered),10/24/15,805,9.25
Organic Wheat (feed) (delivered),10/24/15,603,9.25
Organic Wheat (feed) (delivered),10/24/15,500,9.25
Organic Wheat (feed) (delivered),10/26/15,10000,12.55
Organic Wheat (feed) (delivered),10/26/15,10000,11.4
Organic Wheat (feed) (delivered),10/27/15,867,15.3
Organic Wheat (feed) (delivered),10/28/15,161,8.62
Organic Wheat (feed) (delivered),10/28/15,833,15.3
Organic Wheat (feed) (delivered),10/28/15,833,15.3
Organic Wheat (feed) (delivered),11/1/15,1013,8.5
Organic Wheat (feed) (delivered),11/9/15,1800,7
Organic Wheat (feed) (delivered),11/11/15,833,15.3
Organic Wheat (feed) (delivered),11/11/15,733,15.3
Organic Wheat (feed) (delivered),11/12/15,2000,12.25
Organic Wheat (feed) (delivered),11/12/15,380000,10
Organic Wheat (feed) (delivered),11/12/15,2000,12.25
Organic Wheat (feed) (delivered),11/12/15,20000,12.3
Organic Wheat (feed) (delivered),11/13/15,833,15.3
Organic Wheat (feed) (delivered),11/13/15,800,15.3
Organic Wheat (feed) (delivered),12/2/15,12500,12.45
Organic Wheat (feed) (delivered),12/3/15,3700,10
Organic Wheat (feed) (delivered),12/3/15,500,10.3
Organic Wheat (feed) (delivered),12/4/15,1000,10
Organic Wheat (feed) (delivered),12/14/15,1600,8
Organic Wheat (feed) (delivered),12/23/15,3333,0.45
Organic Wheat (feed) (delivered),1/4/16,40000,8.4
Organic Wheat (feed) (delivered),1/4/16,3300,10.3
Organic Wheat (feed) (delivered),1/5/16,1600,8
Organic Wheat (feed) (delivered),1/11/16,12000,12.45
Organic Wheat (feed) (delivered),1/12/16,867,9.4
Organic Wheat (feed) (delivered),1/18/16,20000,12
Organic Wheat (feed) (delivered),1/18/16,20000,9
Organic Wheat (feed) (delivered),1/21/16,867,9.42
Organic Wheat (feed) (delivered),1/21/16,867,9.42
Organic Wheat (feed) (delivered),1/25/16,10000,7.9
Organic Wheat (feed) (delivered),1/25/16,10000,11.8
Organic Wheat (feed) (delivered),1/27/16,12000,11.8
Organic Wheat (feed) (delivered),2/3/16,315,9
Organic Wheat (feed) (delivered),2/4/16,1470,11.59
Organic Wheat (feed) (delivered),2/5/16,29450,8
Organic Wheat (feed) (delivered),2/10/16,1410,9
Organic Wheat (feed) (delivered),2/11/16,10000,11.85
Organic Wheat (feed) (delivered),2/25/16,1760,11.64
Organic Wheat (feed) (delivered),2/25/16,12000,12.15
Organic Wheat (feed) (delivered),3/1/16,816,8.5
Organic Wheat (feed) (delivered),3/1/16,1853,8.5
Organic Wheat (feed) (delivered),3/1/16,853,8.5
Organic Wheat (feed) (delivered),3/1/16,822,8.5
Organic Wheat (feed) (delivered),3/1/16,549,8.5
Organic Wheat (feed) (delivered),3/1/16,990,8.5
Organic Wheat (feed) (delivered),3/1/16,2701,8.5
Organic Wheat (feed) (delivered),3/1/16,1653,8.5
Organic Wheat (feed) (delivered),3/1/16,2495,8.5
Organic Wheat (feed) (delivered),3/1/16,799,8.5
Organic Wheat (feed) (delivered),3/1/16,1653,11.59
Organic Wheat (feed) (delivered),3/1/16,842,8.5
Organic Wheat (feed) (delivered),3/1/16,1275,8.5
Organic Wheat (feed) (delivered),3/3/16,2939,15
Organic Wheat (feed) (delivered),3/7/16,9921,14.73
Organic Wheat (feed) (delivered),3/7/16,11500,14.7
Organic Wheat (feed) (delivered),3/9/16,3674,15.41
Organic Wheat (feed) (delivered),3/9/16,1286,15
Organic Wheat (feed) (delivered),3/14/16,1666,12.3
Organic Wheat (feed) (delivered),3/15/16,1673,8.5
Organic Wheat (feed) (delivered),3/15/16,858,8.5
Organic Wheat (feed) (delivered),3/15/16,843,8.5
Organic Wheat (feed) (delivered),3/15/16,399,8.5
Organic Wheat (feed) (delivered),3/15/16,1600,7
Organic Wheat (feed) (delivered),3/15/16,805,8.5
Organic Wheat (feed) (delivered),3/16/16,1600,7.25
Organic Wheat (feed) (delivered),3/16/16,1600,7.25
Organic Wheat (feed) (delivered),3/29/16,867,8.5
Organic Wheat (feed) (delivered),3/30/16,882,14.18
Organic Wheat (feed) (delivered),3/31/16,2040,8.5
Organic Wheat (feed) (delivered),3/31/16,428,8.5
Organic Wheat (feed) (delivered),4/1/16,1649,8
Organic Wheat (feed) (delivered),4/1/16,1600,7
Organic Wheat (feed) (delivered),4/1/16,694,8
Organic Wheat (feed) (delivered),4/1/16,216,8.5
Organic Wheat (feed) (delivered),4/1/16,924,8.5
Organic Wheat (feed) (delivered),4/1/16,1600,7
Organic Wheat (feed) (delivered),4/6/16,1467,13.53
Organic Wheat (feed) (delivered),4/7/16,3500,7.55
Organic Wheat (feed) (delivered),4/8/16,96,8
Organic Wheat (feed) (delivered),4/8/16,889,8.5
Organic Wheat (feed) (delivered),4/15/16,887,8.5
Organic Wheat (feed) (delivered),4/15/16,1619,8.5
Organic Wheat (feed) (delivered),4/15/16,2400,7
Organic Wheat (feed) (delivered),4/21/16,300,8
Organic Wheat (feed) (delivered),4/22/16,395,8
Organic Wheat (feed) (delivered),4/29/16,431,8
Organic Wheat (feed) (delivered),5/1/16,1002,8
Organic Wheat (feed) (delivered),5/5/16,961,8
Organic Wheat (feed) (delivered),5/5/16,928,8
Organic Wheat (feed) (delivered),5/9/16,3700,6.5
Organic Wheat (feed) (delivered),5/13/16,1647,9.25
Organic Wheat (feed) (delivered),5/13/16,855,8.5
Organic Wheat (feed) (delivered),5/15/16,1800,9.25
Organic Wheat (feed) (delivered),5/16/16,20000,7.5
Organic Wheat (feed) (delivered),5/18/16,22000,6.75
Organic Wheat (feed) (delivered),5/20/16,632,8
Organic Wheat (feed) (delivered),5/31/16,2400,7.35
Organic Wheat (feed) (delivered),6/1/16,16667,7.8
Organic Wheat (feed) (delivered),6/1/16,557,8
Organic Wheat (feed) (delivered),6/1/16,643,8
Organic Wheat (feed) (delivered),6/1/16,1151,8
Organic Wheat (feed) (delivered),6/1/16,1669,8
Organic Wheat (feed) (delivered),6/1/16,294,8
Organic Wheat (feed) (delivered),6/2/16,2400,7
Organic Wheat (feed) (delivered),6/3/16,1760,11.75
Organic Wheat (feed) (delivered),6/10/16,849,8
Organic Wheat (feed) (delivered),6/10/16,28000,10
Organic Wheat (feed) (delivered),6/20/16,1760,11.65
Organic Wheat (feed) (delivered),6/30/16,799,8
Organic Wheat (feed) (delivered),7/1/16,854,8
Organic Wheat (feed) (delivered),7/1/16,560,8
Organic Wheat (feed) (delivered),7/1/16,1785,8
Organic Wheat (feed) (delivered),7/1/16,890,8
Organic Wheat (feed) (delivered),7/1/16,537,8
Organic Wheat (feed) (delivered),7/7/16,2000,8
Organic Wheat (feed) (delivered),7/8/16,847,8
Organic Wheat (feed) (delivered),7/8/16,855,8
Organic Wheat (feed) (delivered),7/8/16,1691,8
Organic Wheat (feed) (delivered),7/14/16,1600,10.5
Organic Wheat (feed) (delivered),7/15/16,97,8
Organic Wheat (feed) (delivered),7/15/16,320,8
Organic Wheat (feed) (delivered),7/15/16,880,8
Organic Wheat (feed) (delivered),7/15/16,131,8
Organic Wheat (feed) (delivered),7/15/16,494,8
Organic Wheat (feed) (delivered),7/15/16,915,8
Organic Wheat (feed) (delivered),7/15/16,1767,8
Organic Wheat (feed) (delivered),7/18/16,1241,10.95
Organic Wheat (feed) (delivered),7/18/16,16408.26,10.95
Organic Wheat (feed) (delivered),7/18/16,4635.39,10.95
Organic Wheat (feed) (delivered),7/18/16,66667,6.75
Organic Wheat (feed) (delivered),7/19/16,2714.54,10
Organic Wheat (feed) (delivered),7/21/16,800,9.75
Organic Wheat (feed) (delivered),7/22/16,448,8
Organic Wheat (feed) (delivered),7/22/16,757,8
Organic Wheat (feed) (delivered),7/22/16,851,8
Organic Wheat (feed) (delivered),7/22/16,3699,8.5
Organic Wheat (feed) (delivered),7/22/16,753,8.5
Organic Wheat (feed) (delivered),7/22/16,297,9.5
Organic Wheat (feed) (delivered),7/22/16,1018,9.5
